FECHA,RUTA,TURNO,TIPO RUTA,PUNTO,DESCRIPCION,HORARIO,HORARIO PROGRAMADO,HORARIO ETA PROMEDIO,DIFERENCIA,TAMAÑO MUESTRA,DESVIACION ESTANDAR
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,5,STA. GERTRUDIS Y STA. CECILIA (DEL ACUEDUCTO),H1,04:32,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,5,STA. GERTRUDIS Y STA. CECILIA (DEL ACUEDUCTO),H2,16:32,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,5,STA. GERTRUDIS Y STA. CECILIA (DEL ACUEDUCTO),H3,20:02,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,5,STA. GERTRUDIS Y STA. CECILIA (DEL ACUEDUCTO),H4,20:32,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,6,DEPOSITO DE AGUA FRACC PLAZA,H1,04:35,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,6,DEPOSITO DE AGUA FRACC PLAZA,H2,16:35,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,6,DEPOSITO DE AGUA FRACC PLAZA,H3,20:05,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,6,DEPOSITO DE AGUA FRACC PLAZA,H4,20:35,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,7,BLVD VALDES SANCHEZ Y BLVD MINERIA,H1,04:40,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,7,BLVD VALDES SANCHEZ Y BLVD MINERIA,H2,16:40,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,7,BLVD VALDES SANCHEZ Y BLVD MINERIA,H3,20:10,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,7,BLVD VALDES SANCHEZ Y BLVD MINERIA,H4,20:40,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,8,REFORMA Y URDIÑOLA,H1,04:50,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,8,REFORMA Y URDIÑOLA,H2,16:50,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,8,REFORMA Y URDIÑOLA,H3,20:20,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,8,REFORMA Y URDIÑOLA,H4,20:50,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,9,PROL. URDIÑOLA Y J. MERY,H1,04:55,,,,
