sequential_id|rdes|shift|route_type|id|des|sch|time|mean|diff|n|std
0008|LOMA LINDA - URDIÑOLA|Entrada|N|7|BLVD VALDES SANCHEZ Y BLVD MINERIA|H1|04:40|04:43|-3|1|0
0008|LOMA LINDA - URDIÑOLA|Entrada|N|7|BLVD VALDES SANCHEZ Y BLVD MINERIA|H2|16:40|16:42|-2|1|0
0008|LOMA LINDA - URDIÑOLA|Entrada|N|7|BLVD VALDES SANCHEZ Y BLVD MINERIA|H3|20:10|||0|
0008|LOMA LINDA - URDIÑOLA|Entrada|N|7|BLVD VALDES SANCHEZ Y BLVD MINERIA|H4|20:40|||0|
0008|LOMA LINDA - URDIÑOLA|Entrada|N|8|REFORMA Y URDIÑOLA|H1|04:50|04:51|-1|1|0
0008|LOMA LINDA - URDIÑOLA|Entrada|N|8|REFORMA Y URDIÑOLA|H2|16:50|16:52|-2|1|0
0008|LOMA LINDA - URDIÑOLA|Entrada|N|8|REFORMA Y URDIÑOLA|H3|20:20|||0|
0008|LOMA LINDA - URDIÑOLA|Entrada|N|8|REFORMA Y URDIÑOLA|H4|20:50|||0|
0008|LOMA LINDA - URDIÑOLA|Entrada|N|9|PROL. URDIÑOLA Y J. MERY|H1|04:55|04:58|-3|1|0
0008|LOMA LINDA - URDIÑOLA|Entrada|N|9|PROL. URDIÑOLA Y J. MERY|H2|16:55|17:01|-6|1|0
0008|LOMA LINDA - URDIÑOLA|Entrada|N|9|PROL. URDIÑOLA Y J. MERY|H3|20:25|||0|
0008|LOMA LINDA - URDIÑOLA|Entrada|N|9|PROL. URDIÑOLA Y J. MERY|H4|20:55|||0|
0008|LOMA LINDA - URDIÑOLA|Entrada|N|10|PROL URDIÑOLA Y PERIFERICO LEA|H1|05:00|05:02|-2|1|0
0008|LOMA LINDA - URDIÑOLA|Entrada|N|10|PROL URDIÑOLA Y PERIFERICO LEA|H2|17:00|17:07|-7|1|0
0008|LOMA LINDA - URDIÑOLA|Entrada|N|10|PROL URDIÑOLA Y PERIFERICO LEA|H3|20:30|||0|
0008|LOMA LINDA - URDIÑOLA|Entrada|N|10|PROL URDIÑOLA Y PERIFERICO LEA|H4|21:00|||0|
0008|LOMA LINDA - URDIÑOLA|Entrada|N|11|BLVD ANTONIO CARDENAS Y TEODORO SANCHEZ|H1|05:10|05:13|-3|1|0
0008|LOMA LINDA - URDIÑOLA|Entrada|N|11|BLVD ANTONIO CARDENAS Y TEODORO SANCHEZ|H2|17:10|17:23|-13|1|0
0008|LOMA LINDA - URDIÑOLA|Entrada|N|11|BLVD ANTONIO CARDENAS Y TEODORO SANCHEZ|H3|20:40|||0|
0008|LOMA LINDA - URDIÑOLA|Entrada|N|11|BLVD ANTONIO CARDENAS Y TEODORO SANCHEZ|H4|21:10|||0|
0008|LOMA LINDA - URDIÑOLA|Entrada|N|12|BLVD SANTA ELENA Y GUACALI|H1|05:20|05:22|-2|1|0
0008|LOMA LINDA - URDIÑOLA|Entrada|N|12|BLVD SANTA ELENA Y GUACALI|H2|17:20|17:31|-11|1|0
0008|LOMA LINDA - URDIÑOLA|Entrada|N|12|BLVD SANTA ELENA Y GUACALI|H3|20:50|||0|
0008|LOMA LINDA - URDIÑOLA|Entrada|N|12|BLVD SANTA ELENA Y GUACALI|H4|21:20|||0|
0008|LOMA LINDA - URDIÑOLA|Entrada|N|13|CARR. SALTILLO-ZACATECAS|H1|05:25|05:24|1|1|0
0008|LOMA LINDA - URDIÑOLA|Entrada|N|13|CARR. SALTILLO-ZACATECAS|H2|17:25|17:31|-6|1|0
0008|LOMA LINDA - URDIÑOLA|Entrada|N|13|CARR. SALTILLO-ZACATECAS|H3|20:55|||0|
0008|LOMA LINDA - URDIÑOLA|Entrada|N|13|CARR. SALTILLO-ZACATECAS|H4|21:25|||0|
0008|LOMA LINDA - URDIÑOLA|Entrada|N|14|METALSA|H1|05:50|05:46|4|1|0
0008|LOMA LINDA - URDIÑOLA|Entrada|N|14|METALSA|H2|17:50|17:43|7|1|0
0008|LOMA LINDA - URDIÑOLA|Entrada|N|14|METALSA|H3|21:20|||0|
0008|LOMA LINDA - URDIÑOLA|Entrada|N|14|METALSA|H4|21:50|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|1|METALSA|H1|06:15|06:16|-1|1|0
0034|LOMA LINDA - URDIÑOLA|Salida|N|1|METALSA|H2|15:30|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|1|METALSA|H3|18:15|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|2|CARR. SALTILLO-ZACATECAS|H1|06:29|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|2|CARR. SALTILLO-ZACATECAS|H2|15:59|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|2|CARR. SALTILLO-ZACATECAS|H3|18:29|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|3|BLVD SANTA ELENA Y GUACALI|H1|06:30|06:30|0|1|0
0034|LOMA LINDA - URDIÑOLA|Salida|N|3|BLVD SANTA ELENA Y GUACALI|H2|16:00|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|3|BLVD SANTA ELENA Y GUACALI|H3|18:30|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|4|BLVD ANTONIO CARDENAS Y TEODORO SANCHEZ|H1|06:31|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|4|BLVD ANTONIO CARDENAS Y TEODORO SANCHEZ|H2|16:01|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|4|BLVD ANTONIO CARDENAS Y TEODORO SANCHEZ|H3|18:31|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|5|PROL URDIÑOLA Y PERIFERICO LEA|H1|06:32|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|5|PROL URDIÑOLA Y PERIFERICO LEA|H2|16:02|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|5|PROL URDIÑOLA Y PERIFERICO LEA|H3|18:32|||0|
